turbofan-ingest-service  | {"timestamp":"2026-08-09T00:42:56.225872+00:00","level":"INFO","logger":"kafka.net.manager","message":"Attempting bootstrap to bootstrap-0 at kafka:9092 (rack None)"}
turbofan-ingest-service  | {"timestamp":"2026-08-09T00:42:56.226040+00:00","level":"INFO","logger":"kafka.net.manager","message":"Initializing connection for node_id bootstrap-0 at kafka:9092 (rack=None)"}
turbofan-ingest-service  | {"timestamp":"2026-08-09T00:42:56.233581+00:00","level":"INFO","logger":"kafka.net.transport","message":"<KafkaTCPTransport [172.18.0.8:9092<-60670]>: connected to <socket.socket fd=6, family=2, type=1, proto=6, laddr=('172.18.0.9', 60670), raddr=('172.18.0.8', 9092)>"}
turbofan-ingest-service  | {"timestamp":"2026-08-09T00:42:56.243315+00:00","level":"INFO","logger":"kafka.net.connection","message":"<KafkaConnection node_id=bootstrap-0 host=[172.18.0.8:9092<-60670] broker_version=unknown (initializing)>: Broker version identified as 3.5"}
turbofan-ingest-service  | {"timestamp":"2026-08-09T00:42:56.243530+00:00","level":"INFO","logger":"kafka.net.connection","message":"<KafkaConnection node_id=bootstrap-0 host=[172.18.0.8:9092<-60670] broker_version=(3, 5) (connected)>: Connected"}
turbofan-ingest-service  | {"timestamp":"2026-08-09T00:42:56.248480+00:00","level":"INFO","logger":"kafka.cluster","message":"Updated metadata: ClusterMetadata(brokers: 1, topics: 0, coordinators: 0)"}
turbofan-ingest-service  | {"timestamp":"2026-08-09T00:42:56.248563+00:00","level":"INFO","logger":"kafka.net.manager","message":"Bootstrap complete: ClusterMetadata(brokers: 1, topics: 0, coordinators: 0)"}
turbofan-ingest-service  | {"timestamp":"2026-08-09T00:42:56.248605+00:00","level":"INFO","logger":"kafka.net.manager","message":"Closing bootstrap connection bootstrap-0"}
turbofan-ingest-service  | {"timestamp":"2026-08-09T00:42:56.248638+00:00","level":"INFO","logger":"kafka.net.transport","message":"<KafkaTCPTransport [172.18.0.8:9092<-60670]>: Closing transport"}
turbofan-ingest-service  | {"timestamp":"2026-08-09T00:42:56.248747+00:00","level":"INFO","logger":"kafka.net.connection","message":"<KafkaConnection node_id=bootstrap-0 broker_version=(3, 5) (disconnected)>: Connection closed"}
turbofan-ingest-service  | {"timestamp":"2026-08-09T00:42:56.248822+00:00","level":"INFO","logger":"kafka.cluster","message":"Starting metadata refresh loop"}
turbofan-ingest-service  | {"timestamp":"2026-08-09T00:42:56.248888+00:00","level":"INFO","logger":"kafka.producer.kafka","message":"<KafkaProducer client_id=kafka-python-producer-1 transactional_id=None>: Instantiated an idempotent producer."}
turbofan-ingest-service  | {"timestamp":"2026-08-09T00:42:56.249343+00:00","level":"INFO","logger":"kafka.producer.transaction_manager","message":"ProducerId set to -1 with epoch -1"}
turbofan-ingest-service  | {"timestamp":"2026-08-09T00:42:56.249535+00:00","level":"INFO","logger":"kafka.net.manager","message":"Initializing connection for node_id 1 at kafka:9092 (rack=None)"}
turbofan-ingest-service  | {"timestamp":"2026-08-09T00:42:56.250064+00:00","level":"INFO","logger":"__main__","message":"Ingestion service started","source":"mqtt","topic":"turbofan.raw.telemetry"}
turbofan-ingest-service  | {"timestamp":"2026-08-09T00:42:56.250770+00:00","level":"INFO","logger":"kafka.net.transport","message":"<KafkaTCPTransport [172.18.0.8:9092<-60672]>: connected to <socket.socket fd=6, family=2, type=1, proto=6, laddr=('172.18.0.9', 60672), raddr=('172.18.0.8', 9092)>"}
turbofan-ingest-service  | {"timestamp":"2026-08-09T00:42:56.252294+00:00","level":"INFO","logger":"services.ingestion.mqtt_source","message":"Subscribed to MQTT topic","topic":"turbofan/telemetry"}
turbofan-ingest-service  | {"timestamp":"2026-08-09T00:42:56.252984+00:00","level":"INFO","logger":"kafka.net.connection","message":"<KafkaConnection node_id=1 host=[172.18.0.8:9092<-60672] broker_version=(3, 5) (connected)>: Connected"}
turbofan-ingest-service  | {"timestamp":"2026-08-09T00:42:56.254616+00:00","level":"INFO","logger":"kafka.producer.transaction_manager","message":"ProducerId set to 4 with epoch 0"}
turbofan-ingest-service  | {"timestamp":"2026-08-09T00:42:56.354328+00:00","level":"INFO","logger":"kafka.cluster","message":"Updated metadata: ClusterMetadata(brokers: 1, topics: 1, coordinators: 0)"}
[Kturbofan-ingest-service exited with code 137
