turbofan-prometheus  | ts=2026-08-09T00:29:48.295Z caller=main.go:627 level=info msg="No time or size retention was set so using the default time retention" duration=15d
turbofan-prometheus  | ts=2026-08-09T00:29:48.295Z caller=main.go:671 level=info msg="Starting Prometheus Server" mode=server version="(version=2.55.1, branch=HEAD, revision=6d7569113f1ca814f1e149f74176656540043b8d)"
turbofan-prometheus  | ts=2026-08-09T00:29:48.295Z caller=main.go:676 level=info build_context="(go=go1.23.2, platform=linux/arm64, user=root@194e0f5dd5e8, date=20241106-10:11:03, tags=netgo,builtinassets,stringlabels)"
turbofan-prometheus  | ts=2026-08-09T00:29:48.295Z caller=main.go:677 level=info host_details="(Linux 6.12.76-linuxkit #1 SMP Mon Mar 30 09:10:35 UTC 2026 aarch64 fb0dfa633abf (none))"
turbofan-prometheus  | ts=2026-08-09T00:29:48.295Z caller=main.go:678 level=info fd_limits="(soft=1048576, hard=1048576)"
turbofan-prometheus  | ts=2026-08-09T00:29:48.295Z caller=main.go:679 level=info vm_limits="(soft=unlimited, hard=unlimited)"
turbofan-prometheus  | ts=2026-08-09T00:29:48.298Z caller=web.go:585 level=info component=web msg="Start listening for connections" address=0.0.0.0:9090
turbofan-prometheus  | ts=2026-08-09T00:29:48.298Z caller=main.go:1197 level=info msg="Starting TSDB ..."
turbofan-prometheus  | ts=2026-08-09T00:29:48.298Z caller=tls_config.go:348 level=info component=web msg="Listening on" address=[::]:9090
turbofan-prometheus  | ts=2026-08-09T00:29:48.298Z caller=tls_config.go:351 level=info component=web msg="TLS is disabled." http2=false address=[::]:9090
turbofan-prometheus  | ts=2026-08-09T00:29:48.300Z caller=head.go:627 level=info component=tsdb msg="Replaying on-disk memory mappable chunks if any"
turbofan-prometheus  | ts=2026-08-09T00:29:48.300Z caller=head.go:714 level=info component=tsdb msg="On-disk memory mappable chunks replay completed" duration=1µs
turbofan-prometheus  | ts=2026-08-09T00:29:48.300Z caller=head.go:722 level=info component=tsdb msg="Replaying WAL, this may take a while"
turbofan-prometheus  | ts=2026-08-09T00:29:48.304Z caller=head.go:794 level=info component=tsdb msg="WAL segment loaded" segment=0 maxSegment=2
turbofan-prometheus  | ts=2026-08-09T00:29:48.306Z caller=head.go:794 level=info component=tsdb msg="WAL segment loaded" segment=1 maxSegment=2
